id,Latitude,Longitude,BackgroundRSLrate,Date,0.3-MED,0.3-LOW,0.3-HIGH,0.5-MED,0.5-LOW,0.5-HIGH,1.0-MED,1.0-LOW,1.0-HIGH,1.5-MED,1.5-LOW,1.5-HIGH,2.0-MED,2.0-LOW,2.0-HIGH,2.5-MED,2.5-LOW,2.5-HIGH
SAN FRANCISCO,37.81,-122.47,0.02,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SAN FRANCISCO,37.81,-122.47,0.02,2010,0.03,0.01,0.04,0.03,0.02,0.04,0.05,0.03,0.06,0.07,0.04,0.08,0.08,0.07,0.09,0.08,0.03,0.09
SAN FRANCISCO,37.81,-122.47,0.02,2020,0.06,0.03,0.08,0.08,0.05,0.09,0.10,0.08,0.12,0.13,0.09,0.15,0.16,0.14,0.18,0.18,0.10,0.20
SAN FRANCISCO,37.81,-122.47,0.02,2030,0.10,0.06,0.13,0.12,0.09,0.15,0.17,0.14,0.19,0.22,0.17,0.25,0.28,0.25,0.32,0.32,0.21,0.36
SAN FRANCISCO,37.81,-122.47,0.02,2040,0.13,0.08,0.18,0.17,0.13,0.20,0.25,0.20,0.28,0.34,0.27,0.38,0.46,0.41,0.49,0.54,0.37,0.57
SAN FRANCISCO,37.81,-122.47,0.02,2050,0.17,0.10,0.23,0.22,0.17,0.26,0.36,0.29,0.40,0.51,0.41,0.57,0.70,0.63,0.73,0.83,0.60,0.88
SAN FRANCISCO,37.81,-122.47,0.02,2060,0.21,0.13,0.28,0.28,0.21,0.32,0.47,0.40,0.52,0.69,0.58,0.77,0.97,0.88,1.01,1.18,0.90,1.25
SAN FRANCISCO,37.81,-122.47,0.02,2070,0.25,0.15,0.33,0.33,0.26,0.38,0.59,0.52,0.66,0.90,0.76,1.00,1.27,1.17,1.33,1.58,1.24,1.66
SAN FRANCISCO,37.81,-122.47,0.02,2080,0.28,0.17,0.38,0.38,0.31,0.43,0.73,0.64,0.81,1.14,0.98,1.27,1.63,1.51,1.70,2.02,1.63,2.15
SAN FRANCISCO,37.81,-122.47,0.02,2090,0.31,0.19,0.43,0.43,0.36,0.49,0.87,0.78,0.97,1.41,1.22,1.55,2.04,1.88,2.11,2.52,2.07,2.68
SAN FRANCISCO,37.81,-122.47,0.02,2100,0.34,0.19,0.49,0.48,0.38,0.55,1.04,0.91,1.17,1.74,1.47,1.91,2.53,2.32,2.61,3.11,2.57,3.34
SAN FRANCISCO,37.81,-122.47,0.02,2120,0.40,0.23,0.55,0.56,0.46,0.68,1.23,1.14,1.41,2.10,1.91,2.47,3.24,2.99,3.61,4.33,3.68,4.71
SAN FRANCISCO,37.81,-122.47,0.02,2150,0.47,0.25,0.65,0.70,0.52,0.87,1.76,1.58,2.02,3.18,2.86,3.70,5.00,4.59,5.51,6.69,5.73,7.25
SAN FRANCISCO,37.81,-122.47,0.02,2200,0.53,0.17,0.83,0.92,0.57,1.23,2.78,2.42,3.25,5.41,4.76,6.30,8.72,8.04,9.33,11.30,10.14,12.07
NEW YORK,40.7,-74.01,1.38,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NEW YORK,40.7,-74.01,1.38,2010,0.05,0.02,0.07,0.06,0.04,0.07,0.09,0.06,0.11,0.12,0.07,0.15,0.14,0.13,0.17,0.14,0.06,0.15
NEW YORK,40.7,-74.01,1.38,2020,0.11,0.06,0.14,0.13,0.08,0.16,0.19,0.12,0.23,0.25,0.14,0.31,0.31,0.25,0.35,0.29,0.14,0.33
NEW YORK,40.7,-74.01,1.38,2030,0.15,0.10,0.21,0.19,0.13,0.23,0.29,0.21,0.34,0.39,0.24,0.45,0.48,0.43,0.53,0.50,0.28,0.55
NEW YORK,40.7,-74.01,1.38,2040,0.20,0.13,0.28,0.25,0.18,0.31,0.39,0.29,0.47,0.53,0.36,0.61,0.67,0.63,0.75,0.76,0.45,0.82
NEW YORK,40.7,-74.01,1.38,2050,0.25,0.15,0.36,0.31,0.24,0.39,0.51,0.40,0.60,0.71,0.51,0.80,0.92,0.85,1.00,1.05,0.68,1.14
NEW YORK,40.7,-74.01,1.38,2060,0.31,0.18,0.42,0.39,0.29,0.47,0.65,0.52,0.76,0.92,0.68,1.04,1.24,1.07,1.30,1.44,0.97,1.50
