id,Latitude,Longitude,BackgroundRSL,Date,0.3-MED
SAN FRANCISCO,37.81,-122.47,0.02,2000,0
SAN FRANCISCO,37.81,-122.47,0.02,2010,3
SAN FRANCISCO,37.81,-122.47,0.02,2020,6
SAN FRANCISCO,37.81,-122.47,0.02,2030,10
SAN FRANCISCO,37.81,-122.47,0.02,2040,13
SAN FRANCISCO,37.81,-122.47,0.02,2050,17
SAN FRANCISCO,37.81,-122.47,0.02,2060,21
SAN FRANCISCO,37.81,-122.47,0.02,2070,25
SAN FRANCISCO,37.81,-122.47,0.02,2080,28
SAN FRANCISCO,37.81,-122.47,0.02,2090,31
SAN FRANCISCO,37.81,-122.47,0.02,2100,34
SAN FRANCISCO,37.81,-122.47,0.02,2120,40
SAN FRANCISCO,37.81,-122.47,0.02,2150,47
SAN FRANCISCO,37.81,-122.47,0.02,2200,53
NEW YORK,40.7,-74.01,1.38,2000,0
NEW YORK,40.7,-74.01,1.38,2010,5
NEW YORK,40.7,-74.01,1.38,2020,11
NEW YORK,40.7,-74.01,1.38,2030,15
NEW YORK,40.7,-74.01,1.38,2040,20
NEW YORK,40.7,-74.01,1.38,2050,25
NEW YORK,40.7,-74.01,1.38,2060,31
NEW YORK,40.7,-74.01,1.38,2070,36
NEW YORK,40.7,-74.01,1.38,2080,39
NEW YORK,40.7,-74.01,1.38,2090,44
NEW YORK,40.7,-74.01,1.38,2100,46
NEW YORK,40.7,-74.01,1.38,2120,51
NEW YORK,40.7,-74.01,1.38,2150,58
NEW YORK,40.7,-74.01,1.38,2200,69
HALIFAX,44.67,-63.58,1.46,2000,0
HALIFAX,44.67,-63.58,1.46,2010,5
HALIFAX,44.67,-63.58,1.46,2020,11
HALIFAX,44.67,-63.58,1.46,2030,16
HALIFAX,44.67,-63.58,1.46,2040,20
HALIFAX,44.67,-63.58,1.46,2050,27
HALIFAX,44.67,-63.58,1.46,2060,32
HALIFAX,44.67,-63.58,1.46,2070,36
HALIFAX,44.67,-63.58,1.46,2080,40
HALIFAX,44.67,-63.58,1.46,2090,44
HALIFAX,44.67,-63.58,1.46,2100,47
HALIFAX,44.67,-63.58,1.46,2120,50
HALIFAX,44.67,-63.58,1.46,2150,58
HALIFAX,44.67,-63.58,1.46,2200,66
FERNANDINA BEACH,30.67,-81.47,0.65,2000,0
FERNANDINA BEACH,30.67,-81.47,0.65,2010,4
FERNANDINA BEACH,30.67,-81.47,0.65,2020,8
FERNANDINA BEACH,30.67,-81.47,0.65,2030,13
FERNANDINA BEACH,30.67,-81.47,0.65,2040,17
FERNANDINA BEACH,30.67,-81.47,0.65,2050,22
FERNANDINA BEACH,30.67,-81.47,0.65,2060,26
FERNANDINA BEACH,30.67,-81.47,0.65,2070,30
FERNANDINA BEACH,30.67,-81.47,0.65,2080,33
FERNANDINA BEACH,30.67,-81.47,0.65,2090,37
FERNANDINA BEACH,30.67,-81.47,0.65,2100,40
FERNANDINA BEACH,30.67,-81.47,0.65,2120,45
FERNANDINA BEACH,30.67,-81.47,0.65,2150,51
FERNANDINA BEACH,30.67,-81.47,0.65,2200,61
TROIS-RIVIERES,46.33,-72.55,-2.55,2000,0
TROIS-RIVIERES,46.33,-72.55,-2.55,2010,0
TROIS-RIVIERES,46.33,-72.55,-2.55,2020,1
TROIS-RIVIERES,46.33,-72.55,-2.55,2030,3
TROIS-RIVIERES,46.33,-72.55,-2.55,2040,4
TROIS-RIVIERES,46.33,-72.55,-2.55,2050,5
TROIS-RIVIERES,46.33,-72.55,-2.55,2060,6
TROIS-RIVIERES,46.33,-72.55,-2.55,2070,7
TROIS-RIVIERES,46.33,-72.55,-2.55,2080,7
TROIS-RIVIERES,46.33,-72.55,-2.55,2090,6
TROIS-RIVIERES,46.33,-72.55,-2.55,2100,5
TROIS-RIVIERES,46.33,-72.55,-2.55,2120,1
TROIS-RIVIERES,46.33,-72.55,-2.55,2150,-4
TROIS-RIVIERES,46.33,-72.55,-2.55,2200,-14
SEATTLE,47.6,-122.34,0.33,2000,0
SEATTLE,47.6,-122.34,0.33,2010,2
SEATTLE,47.6,-122.34,0.33,2020,5
SEATTLE,47.6,-122.34,0.33,2030,9
SEATTLE,47.6,-122.34,0.33,2040,12
SEATTLE,47.6,-122.34,0.33,2050,16
SEATTLE,47.6,-122.34,0.33,2060,19
SEATTLE,47.6,-122.34,0.33,2070,23
SEATTLE,47.6,-122.34,0.33,2080,27
SEATTLE,47.6,-122.34,0.33,2090,30
SEATTLE,47.6,-122.34,0.33,2100,33
SEATTLE,47.6,-122.34,0.33,2120,38
SEATTLE,47.6,-122.34,0.33,2150,44
SEATTLE,47.6,-122.34,0.33,2200,49
PHILADELPHIA,39.93,-75.14,1.31,2000,0
PHILADELPHIA,39.93,-75.14,1.31,2010,5
PHILADELPHIA,39.93,-75.14,1.31,2020,10
PHILADELPHIA,39.93,-75.14,1.31,2030,16
PHILADELPHIA,39.93,-75.14,1.31,2040,21
PHILADELPHIA,39.93,-75.14,1.31,2050,25
PHILADELPHIA,39.93,-75.14,1.31,2060,30
PHILADELPHIA,39.93,-75.14,1.31,2070,35
PHILADELPHIA,39.93,-75.14,1.31,2080,39
PHILADELPHIA,39.93,-75.14,1.31,2090,43
PHILADELPHIA,39.93,-75.14,1.31,2100,45
PHILADELPHIA,39.93,-75.14,1.31,2120,50
PHILADELPHIA,39.93,-75.14,1.31,2150,58
PHILADELPHIA,39.93,-75.14,1.31,2200,68
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2000,0
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2010,0
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2020,1
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2030,2
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2040,3
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2050,4
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2060,5
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2070,6
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2080,6
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2090,5
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2100,4
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2120,-1
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2150,-6
PORT-SAINT-FRANCOIS,46.27,-72.62,-2.69,2200,-17
POINTE-AU-PERE,48.52,-68.47,-1.89,2000,0
POINTE-AU-PERE,48.52,-68.47,-1.89,2010,1
POINTE-AU-PERE,48.52,-68.47,-1.89,2020,4
POINTE-AU-PERE,48.52,-68.47,-1.89,2030,5
POINTE-AU-PERE,48.52,-68.47,-1.89,2040,7
POINTE-AU-PERE,48.52,-68.47,-1.89,2050,9
POINTE-AU-PERE,48.52,-68.47,-1.89,2060,11
POINTE-AU-PERE,48.52,-68.47,-1.89,2070,12
POINTE-AU-PERE,48.52,-68.47,-1.89,2080,11
POINTE-AU-PERE,48.52,-68.47,-1.89,2090,12
POINTE-AU-PERE,48.52,-68.47,-1.89,2100,12
POINTE-AU-PERE,48.52,-68.47,-1.89,2120,8
POINTE-AU-PERE,48.52,-68.47,-1.89,2150,4
POINTE-AU-PERE,48.52,-68.47,-1.89,2200,-4
BATISCAN,46.5,-72.25,-2.59,2000,0
BATISCAN,46.5,-72.25,-2.59,2010,0
BATISCAN,46.5,-72.25,-2.59,2020,1
BATISCAN,46.5,-72.25,-2.59,2030,3
